epoch,lam_text,ops,seed,alpha,amp,beta,corner_0,corner_1,corner_2,corner_3,corner_4,corner_5,corner_6,corner_7,fx,fy,gamma,sigma_b,sigma_n
15,1.0,"moire,geo,photo,noise,blur",0,-2.0756497383117676,-2.468179941177368,1.607330322265625,-0.7143100500106812,0.3229423463344574,1.51710844039917,0.003352543106302619,0.12529359757900238,0.3860432803630829,-1.3274024724960327,-0.40321946144104004,1.629760503768921,1.6997756958007812,-4.520471572875977,-2.713099479675293,-4.192864894866943
1,0.0,"moire,geo,photo,noise,blur",0,-0.050372228026390076,-1.197413682937622,0.377322256565094,-0.34986555576324463,-0.11789365857839584,0.5364384651184082,-0.14056533575057983,0.2052316963672638,0.1783553808927536,-0.6069062352180481,0.5010973811149597,0.5843636393547058,0.5626696944236755,-0.19720444083213806,-1.1801117658615112,-1.3692114353179932
2,0.0,"moire,geo,photo,noise,blur",0,-0.0853937640786171,-1.8256536722183228,0.24087443947792053,-0.38168737292289734,-0.208984836935997,0.47994092106819153,-0.38646599650382996,0.3678814470767975,-0.013369551859796047,-0.9235991835594177,0.5153274536132812,0.5354517102241516,0.6653895378112793,-0.22252750396728516,-1.6893904209136963,-2.5056986808776855
3,0.0,"moire,geo,photo,noise,blur",0,0.10628435760736465,-2.1068036556243896,0.30529505014419556,-0.6379358768463135,-0.06076521426439285,0.2699933350086212,-0.5369318127632141,0.45648685097694397,-0.05668673291802406,-0.881804883480072,0.48652759194374084,0.42606261372566223,0.5759223103523254,-0.34402358531951904,-1.9416370391845703,-3.1456925868988037
4,0.0,"moire,geo,photo,noise,blur",0,0.09030330926179886,-2.292304039001465,0.17609602212905884,-0.5350855588912964,-0.33673998713493347,-0.0913640558719635,-0.6123511791229248,0.5813659429550171,-0.09849462658166885,-0.8798946738243103,0.33484572172164917,0.3381819725036621,0.582718551158905,-0.38860782980918884,-2.100797414779663,-3.620731830596924
5,0.0,"moire,geo,photo,noise,blur",0,0.03563439100980759,-2.4550867080688477,0.13807375729084015,-0.5867633819580078,-0.38420215249061584,-0.43639323115348816,-0.7224112749099731,0.7390164732933044,-0.17959515750408173,-0.8855998516082764,0.11918945610523224,0.23485860228538513,0.5490066409111023,-0.477247416973114,-2.250640869140625,-3.8533718585968018
6,0.0,"moire,geo,photo,noise,blur",0,-0.013064736500382423,-2.6067442893981934,0.11524174362421036,-0.8780753016471863,-0.3883824050426483,-0.7584252953529358,-1.1941646337509155,0.8722547292709351,-0.010088764131069183,-1.1914845705032349,-0.0974469855427742,0.24489612877368927,0.5342394709587097,-0.39076995849609375,-2.4318954944610596,-4.062038421630859
7,0.0,"moire,geo,photo,noise,blur",0,-0.0015540510648861527,-2.758655309677124,0.24140900373458862,-0.8306483626365662,-0.39032861590385437,-0.6923506259918213,-1.233432412147522,0.8294007182121277,0.09545160084962845,-1.2613418102264404,-0.01653522439301014,0.3889554440975189,0.7031370401382446,-0.26323750615119934,-2.5222630500793457,-4.199791431427002
8,0.0,"moire,geo,photo,noise,blur",0,-0.005051301792263985,-2.8994972705841064,0.35086119174957275,-0.9755207300186157,-0.4816107749938965,-0.7936044335365295,-1.3978099822998047,0.613521933555603,0.20186881721019745,-1.4305928945541382,-0.09143463522195816,0.3561286926269531,0.6453154683113098,-0.5075697302818298,-2.588752031326294,-4.2626423835754395
9,0.0,"moire,geo,photo,noise,blur",0,-0.04381866380572319,-3.026062488555908,0.285685271024704,-1.1962958574295044,-0.42770251631736755,-1.040772557258606,-1.6186517477035522,0.6080186367034912,0.32207223773002625,-1.7447600364685059,-0.45569971203804016,0.39305105805397034,0.6907340884208679,-0.5017333030700684,-2.6618804931640625,-4.375139236450195
10,0.0,"moire,geo,photo,noise,blur",0,0.00258872308768332,-3.1362311840057373,0.2976033687591553,-1.2542438507080078,-0.7448771595954895,-1.302903175354004,-1.8663349151611328,0.7515373826026917,0.16714759171009064,-1.900267481803894,-0.799771785736084,0.43034830689430237,0.7009568810462952,-0.34915751218795776,-2.737361192703247,-4.458852767944336
11,0.0,"moire,geo,photo,noise,blur",0,-0.041717398911714554,-3.264665365219116,0.239912211894989,-1.4516831636428833,-0.7576763033866882,-1.4450132846832275,-2.01167893409729,0.8530277013778687,0.4070994555950165,-1.9616976976394653,-0.8445727825164795,0.42723894119262695,0.6779038906097412,-0.49432724714279175,-2.7838847637176514,-4.483820915222168
12,0.0,"moire,geo,photo,noise,blur",0,-0.40545958280563354,-3.369748115539551,0.04568564146757126,-1.4030356407165527,-0.8406888842582703,-1.4389238357543945,-2.096175193786621,1.1908267736434937,0.2537674903869629,-1.906636357307434,-0.6988152265548706,0.3883354663848877,0.6156530976295471,-0.6784754395484924,-2.8379151821136475,-4.549219131469727
13,0.0,"moire,geo,photo,noise,blur",0,-0.3461797833442688,-3.4493637084960938,0.1395917683839798,-1.3010660409927368,-0.7642556428909302,-1.2914845943450928,-2.018392562866211,1.3427704572677612,0.06328818947076797,-1.8858219385147095,-0.43428146839141846,0.3529796600341797,0.5954591035842896,-0.7695930004119873,-2.8820972442626953,-4.5729146003723145
14,0.0,"moire,geo,photo,noise,blur",0,-0.2797032296657562,-3.5240328311920166,0.12394896149635315,-1.2575817108154297,-0.7069048881530762,-1.1536136865615845,-2.017178535461426,1.3092577457427979,-0.011333785019814968,-1.688093662261963,-0.2208523154258728,0.3542041778564453,0.6158874034881592,-0.7344695329666138,-2.9189071655273438,-4.6218061447143555
15,0.0,"moire,geo,photo,noise,blur",0,-0.03983692824840546,-3.619532585144043,0.13109946250915527,-1.099622130393982,-1.1506102085113525,-1.0943630933761597,-2.044375419616699,1.5055044889450073,-0.18035827577114105,-1.5057600736618042,-0.13299240171909332,0.297884076833725,0.5887559056282043,-0.8377926349639893,-2.9537463188171387,-4.612343788146973
